Profile;Social network;Likes per post;Average;Profile-ID;Link;Image Link;
"CAACE";INSTAGRAM;364.6271186440678;138.60806348441605;17841403474246557;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841403474246557;https://scontent-ord5-1.xx.fbcdn.net/v/t51.2885-15/468874958_1254605275755960_6431499378945190253_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7d201b&_nc_ohc=Jemy0rQBaMMQ7kNvwGKsN6D&_nc_oc=AdmTvDjzTF619Pry8b5pyNUmfy3nGY5Nkc0m-KCZtE6STAO3KRfcivo6eEjQlv2I21g&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&oh=00_Afzmd97E3OazwCX4y38SRbRKig1O-QbApGd5uQlstx_WqA&oe=69B0A148;
"Benefícios, vantagens e auxílios para Advocacia Mineira";INSTAGRAM;264.40310077519376;138.60806348441605;17841400976373321;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841400976373321;https://scontent-ord5-1.xx.fbcdn.net/v/t51.82787-15/561094670_18549584599032546_3932322105090725389_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_ohc=-aOYtiyYNPwQ7kNvwE98gca&_nc_oc=AdkW6ixOw7ZYh024pV56X3omVrV5Gn45-5zxZTjn0ZlA5qiABHe0GtGo1ZI2wSyomVs&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=7ixkJiNCvda4v5V1LBfanw&oh=00_AfwLC7D62R_Bi_IIuqC-8x5GaPDV9gP3tCJQjhEhzaWgug&oe=69B09163;
"Caixa de Assistência dos Advogados da Bahia";INSTAGRAM;193.4338842975206;138.60806348441605;2459607615;https://app.fanpagekarma.com/discovery/INSTAGRAM/2459607615;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/609975566_18372536620087616_5446853803376930009_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeGtSxxza_88umAY1BUpqzvQ_4VYnipKtlT_hVieKkq2VJJosdY-07KueWuEj4vytRXeTPoPcHzC8QSns_0iGu0o&_nc_ohc=7agCUaNtFoQQ7kNvwEgR8uN&_nc_oc=Adl_Xtv104I2EBrvzMN7pTy9KR-RzX5IkLHaivPvLldnJoh7FqL55BU0ky0IgjE_ygA&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=GT1PViLSvIKFWOQeSxl8ew&oh=00_AfzzsqY5dPR868rC1x_-bNxwQC66SaEmjGoEx54m7Ms0fA&oe=69B09042;
"Caixa dos Advogados do Paraná";INSTAGRAM;186.49327354260083;138.60806348441605;17841417521683352;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841417521683352;https://scontent-ord5-1.xx.fbcdn.net/v/t51.82787-15/611655807_18117432103584057_3178003929598860642_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_ohc=1VQyNNX8TWYQ7kNvwGObvEx&_nc_oc=Admpr1CeABtzQCqFAoDgswLP6EabBrxyobnGtDPfxxCmJzKBVnFi3SSySmUrqSfenyc&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=klsnZR7acXKl3QrBRhFCww&oh=00_AfyHIBDS11LhPjj83bDlh8DvVy6Cs2oqDeDaUjjAHv5J8g&oe=69B0866A;
"Caixa de Assistência da Advocacia de Pernambuco";INSTAGRAM;183.40495867768595;138.60806348441605;2901947181;https://app.fanpagekarma.com/discovery/INSTAGRAM/2901947181;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/491465105_1333764051071560_2031933112531556826_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeE2nRPLhzhKq4UycBkMY3eVPRbM-AcXKkw9Fsz4BxcqTKcw2dE7mtivanMNf5d4KB7ZQjm1f0GtQKSbCHLUhp1z&_nc_ohc=6e6B5Py63aAQ7kNvwG4FO5h&_nc_oc=AdlU7Q5PbAs_JSKTlKqZgl_1d7VxJ4AL-7EhlVUra_0NZh3c6fl72hbjh4W_XOwq9lM&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AfyRYw_phm2yRaTLygbi5zjJAUtCAYEhRAGrq9xCaauyWw&oe=69B0B2D4;
"CAA/DF - Caixa de Assistência dos Advogados do DF";INSTAGRAM;167.26182965299685;138.60806348441605;4836964654;https://app.fanpagekarma.com/discovery/INSTAGRAM/4836964654;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/610878061_18356570050164655_2674952024627833758_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=7d201b&_nc_ohc=RSDYETAGulEQ7kNvwFhimgj&_nc_oc=Adn9QOf0jTHAJVISIzQn_alvIQNmprlABMG3Dbt-H69sXqvlwwX4KvRiGXa-6CSm6f8&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=nqQKpD4LJb8oECDlgfQn2w&oh=00_AfxW9lqehifxa2lxDYc3jdOnPdYGb-RRi6NeNMStwbDlJA&oe=69B09B70;
"CAASC";INSTAGRAM;153.2265625;138.60806348441605;10263428792;https://app.fanpagekarma.com/discovery/INSTAGRAM/10263428792;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/573787565_18185981533340793_2014625589492087532_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=7d201b&_nc_ohc=CeD-Pcoj1h4Q7kNvwGf8j_O&_nc_oc=AdluUHoOR20WgE9dKs4jwXkFUC_asLYTFzy74D_Qviqi-OvTDhZoCbLglj3rAbrHWuc&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=ZOloXv8kdG2-pc8rpeBUkw&oh=00_AfzKQRbR6Qknt68BH8sZnRAUjvKJKII2gR6qEiRhj7UOwA&oe=69B0B072;
"Caixa de Assistência dos Advogados do RS";INSTAGRAM;147.72830188679245;138.60806348441605;17841402069151111;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841402069151111;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/619180931_18527569453068972_2983968280184199871_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=_lnlHQFKZu8Q7kNvwHLtLcE&_nc_oc=AdmwH0_SijtLy1M02miQhi9Bqp7xft4iHSqmqYKIEEwTmvwKcjMR9Cr5yxPbBgUshF8&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=XoB0jo0PDs14YtpYlN8XMA&oh=00_AfzmxgicpgpqN-jdURLdtijw_GqYBe58C7lHzrdMBdGQLA&oe=69B08146;
"CAASE";INSTAGRAM;126.3378746594005;138.60806348441605;17841400393206555;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841400393206555;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/471885533_937938364617724_6089719383343701092_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_ohc=LR0FFBCQTCYQ7kNvwFTCvlu&_nc_oc=AdlsWNfMEZ6hlTglpYU7e9X-F2O8M6E-KsLuqAALfSjAL1n86VmINGgZhP2SZsvXjJM&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AfzzTRmv53mgqeqPy1Q2Z7cq7fXlNkY2nuVO-mHEL_NlrA&oe=69B088C7;
"CAAPA";INSTAGRAM;112.08139534883719;138.60806348441605;17841404492691901;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841404492691901;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/643593349_18396882688149757_8236270175701781445_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=7d201b&_nc_ohc=FevXspyZtQcQ7kNvwGRh9Yd&_nc_oc=AdnHAO-hNd7Knm_HCjlTK5zmsVSA4mRmQJ66ksdCNaFcjIKwIyUVs9c0Ys7hdnKOXms&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=a8GyRXCb2UYtZaD2rrGhbg&oh=00_Afw7PnlO4RI2A35t_tyQjEjIEbMfWkhDjRGWZD7evSrSYg&oe=69B0A4F3;
