Profile;Social network;Reactions, Comments & Shares;Profile-ID;Link;Image Link;
"Benefícios, vantagens e auxílios para Advocacia Mineira";INSTAGRAM;122386.0;17841400976373321;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841400976373321;https://scontent-ord5-1.xx.fbcdn.net/v/t51.82787-15/561094670_18549584599032546_3932322105090725389_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_ohc=-aOYtiyYNPwQ7kNvwE98gca&_nc_oc=AdkW6ixOw7ZYh024pV56X3omVrV5Gn45-5zxZTjn0ZlA5qiABHe0GtGo1ZI2wSyomVs&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=7ixkJiNCvda4v5V1LBfanw&oh=00_AfwLC7D62R_Bi_IIuqC-8x5GaPDV9gP3tCJQjhEhzaWgug&oe=69B09163;
"CAIXA DE ASSISTÊNCIA DA ADVOCACIA DO PIAUÍ";INSTAGRAM;63936.0;413242459;https://app.fanpagekarma.com/discovery/INSTAGRAM/413242459;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/572265352_18538399021058460_2322562388138490975_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_ohc=FA0hKnjmv2oQ7kNvwEMIo8B&_nc_oc=Adm20xe6Qjx5yfc68G-jFNnmbXvdOBCkSjL7Vcx7GHOsE92R8GiFC-Ti-3Km5Rd-_hM&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=rDKCJedp6ExraRBE5iOMEQ&oh=00_Afx94kT_Je75ado8kUmduRGSUyPf-KERsUXuIJcu8-CDOQ&oe=69B09624;
"CAAAM";INSTAGRAM;59503.0;4646306554;https://app.fanpagekarma.com/discovery/INSTAGRAM/4646306554;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/640568778_18391083805154555_3181327465133577354_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=7d201b&_nc_ohc=QsgyeH3pRiQQ7kNvwGo8q2u&_nc_oc=AdnVhPXR3zPqkqCrBFHuXGjnJLRPfhgDtT2t3CUdKQN7yJpsn_fRWWwytOYYC8GDduk&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=o_YJ6qtPmsBw3Uy8oZgUdw&oh=00_AfzQePGvlRRerCe0yVfI_Qq7QmDGPbSF5GyInhsCOozUFg&oe=69B0B3E3;
"CAA/DF - Caixa de Assistência dos Advogados do DF";INSTAGRAM;57925.0;4836964654;https://app.fanpagekarma.com/discovery/INSTAGRAM/4836964654;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/610878061_18356570050164655_2674952024627833758_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=7d201b&_nc_ohc=RSDYETAGulEQ7kNvwFhimgj&_nc_oc=Adn9QOf0jTHAJVISIzQn_alvIQNmprlABMG3Dbt-H69sXqvlwwX4KvRiGXa-6CSm6f8&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=nqQKpD4LJb8oECDlgfQn2w&oh=00_AfxW9lqehifxa2lxDYc3jdOnPdYGb-RRi6NeNMStwbDlJA&oe=69B09B70;
"Caixa de Assistência dos Advogados da Bahia";INSTAGRAM;50425.0;2459607615;https://app.fanpagekarma.com/discovery/INSTAGRAM/2459607615;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/609975566_18372536620087616_5446853803376930009_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeGtSxxza_88umAY1BUpqzvQ_4VYnipKtlT_hVieKkq2VJJosdY-07KueWuEj4vytRXeTPoPcHzC8QSns_0iGu0o&_nc_ohc=7agCUaNtFoQQ7kNvwEgR8uN&_nc_oc=Adl_Xtv104I2EBrvzMN7pTy9KR-RzX5IkLHaivPvLldnJoh7FqL55BU0ky0IgjE_ygA&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=GT1PViLSvIKFWOQeSxl8ew&oh=00_AfzzsqY5dPR868rC1x_-bNxwQC66SaEmjGoEx54m7Ms0fA&oe=69B09042;
"CAASE";INSTAGRAM;50150.0;17841400393206555;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841400393206555;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/471885533_937938364617724_6089719383343701092_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_ohc=LR0FFBCQTCYQ7kNvwFTCvlu&_nc_oc=AdlsWNfMEZ6hlTglpYU7e9X-F2O8M6E-KsLuqAALfSjAL1n86VmINGgZhP2SZsvXjJM&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AfzzTRmv53mgqeqPy1Q2Z7cq7fXlNkY2nuVO-mHEL_NlrA&oe=69B088C7;
"CAASP";INSTAGRAM;48780.0;17841410476617937;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841410476617937;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/626633187_18190149016349221_8424125331552165603_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=7d201b&_nc_ohc=YMvi4O1FpMIQ7kNvwFBkzUd&_nc_oc=AdktAVfF0o50WlYd0YYo6BIArBrrbmfL3hXxr6BbaLIXTD1xGA1bfl5Kwqicm-t6NX8&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=HbQJtDxHS381ATp4_2dZnw&oh=00_AfxMZrOVd4mUSq-KP68gOx7nZrt5lAkeoEMx8v9AzlOsTQ&oe=69B0B839;
"CAACE";INSTAGRAM;47280.0;17841403474246557;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841403474246557;https://scontent-ord5-1.xx.fbcdn.net/v/t51.2885-15/468874958_1254605275755960_6431499378945190253_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7d201b&_nc_ohc=Jemy0rQBaMMQ7kNvwGKsN6D&_nc_oc=AdmTvDjzTF619Pry8b5pyNUmfy3nGY5Nkc0m-KCZtE6STAO3KRfcivo6eEjQlv2I21g&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&oh=00_Afzmd97E3OazwCX4y38SRbRKig1O-QbApGd5uQlstx_WqA&oe=69B0A148;
"Caixa dos Advogados do Paraná";INSTAGRAM;43813.0;17841417521683352;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841417521683352;https://scontent-ord5-1.xx.fbcdn.net/v/t51.82787-15/611655807_18117432103584057_3178003929598860642_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_ohc=1VQyNNX8TWYQ7kNvwGObvEx&_nc_oc=Admpr1CeABtzQCqFAoDgswLP6EabBrxyobnGtDPfxxCmJzKBVnFi3SSySmUrqSfenyc&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=klsnZR7acXKl3QrBRhFCww&oh=00_AfyHIBDS11LhPjj83bDlh8DvVy6Cs2oqDeDaUjjAHv5J8g&oe=69B0866A;
"CAA-PB";INSTAGRAM;43573.0;17841400386061617;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841400386061617;https://scontent-ord5-1.xx.fbcdn.net/v/t51.82787-15/582083711_18547288999012869_4838049512381568389_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_ohc=-aX_RbfvRbIQ7kNvwH50YWv&_nc_oc=AdnAki4H1ShYncdUHmYLTGCw69aWrf-or0l8QIoMnprQMeEm7n5QyNDDgvSUqfSvpO8&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=iD4fCu_Y2Q2Bv20nQp7BYQ&oh=00_AfyS7reIkkjmivTmbW2l8qjPLs88ZEIZM_t0E_tet6NzXg&oe=69B095DA;
