uf,estado,regiao,region_color,caa_nome,site_oficial,instagram_handle,instagram_url,facebook_handle,facebook_url,x_twitter,youtube_outro,total_advs,app_disponivel,services_summary,services_source,review_flag
PR,Parana,Sul,#EECF0E,CAAPR,https://caapr.org.br,@caa_parana,https://instagram.com/caa_parana,caixadosadvogadosPR,https://web.facebook.com/caixadosadvogadosPR,,,100639,SIM,"Oferece uma rede consolidada de benefícios e assistência, incluindo o app CAAPR, localizador de convênios em tempo real, integração com telemedicina, reservas digitais de espaços, suporte especializado para PJe, programa Sabor na Caixa, Encontro de Corais, Kit Bebê, consultas psicológicas via Conexa Saúde e campanhas de vacinação tetravalente subvencionadas em dezenas de subseções. A infraestrutura inclui o Edifício Maringá e Centros de Convivência, com foco em capilaridade, advocacia iniciante e público sênior.",USER_PATCH_2026-03-05_PR,
SC,Santa Catarina,Sul,#EECF0E,CAASC,https://caasc.org.br,@caasc_santacatarina,https://instagram.com/caasc_santacatarina,https://www.facebook.com/caasc.sc,https://web.facebook.com/caasc.sc,,,60046,SIM,"Mobile app ""PopUp CAASC"" featuring geolocation for discounts, 24/7 online medical orientation (Einstein Conecta), digital health campaign registration, shared office booking, office management software (multiadv), sports assessments (Treinus), cashback tracking, and transit hotel.","1-4, 9",
RS,Rio Grande do Sul,Sul,#EECF0E,CAARS,https://caars.org.br,@caa.rs,https://instagram.com/caa.rs,caars.daoabrs,https://web.facebook.com/caars.daoabrs,,,104135,SIM,"Dedicated mobile app with ""ADVantagem"" discount portal, health and wellness platforms (Psicologia Viva, Conexa Saúde, Gympass), medical and psychological teleconsultations (Caju Mais), dental appointments, professional photography (Estúdio CAARS), sports communities (tennis/beach tennis), Advocacy Shop, and inter-forum vans.","1-4, 6",
ES,Espirito Santo,Sudeste,#DA2E2C,CAAES,https://caaes.org.br,@caaes,https://instagram.com/caaes,caixadeassistenciacaaes,https://web.facebook.com/caixadeassistenciacaaes,,,30821,NAO,"Telemedicine portal (Dr. Online) with 20 specialties, nutritional and psychological care, sports management (Kickboxing/Canoeing), IT support for PJe, and health club discounts (Wellhub/TotalPass).","1-4, 8",
MG,Minas Gerais,Sudeste,#DA2E2C,CAAMG,https://caamg.org.br,@caa_mg,https://instagram.com/caa_mg,caaminas,https://web.facebook.com/caaminas,,,158161,SIM,"App-based services including CAAfarma (pharmacy), CAAlmamente, shared offices, health and wellness space, sports academies (+Fit), vaccination campaigns, telemedicine (AdvMed), and AI for jurists (Caixa Para Você).","4, 7, 13",
RJ,Rio de Janeiro,Sudeste,#DA2E2C,CAARJ,https://caarj.org.br,@oabrjcaarj,https://www.instagram.com/oabrjcaarj/,caarj,https://web.facebook.com/caarj,,,172504,SIM,"Mobile app ""Caarj na Palma da Mão"" offering access to the Advantage Club (discounts in restaurants, cinemas, theaters like Teatro Riachuelo, and hotels), health insurance agreements, dental plans (Odonto System), vaccination campaigns, breastfeeding rooms, and social assistance (Auxílio Cesta Básica, Aprender, Nascer, and Funeral).",1-5,
SP,Sao Paulo,Sudeste,#DA2E2C,CAASP,https://caasp.org.br,@oabcaasp,https://instagram.com/oabcaasp,oabcaasp,https://web.facebook.com/oabcaasp,,,404461,SIM,"Comprehensive services including online pharmacy (CAASPShop), bookstores, dentistry, health plans (CAASP Saúde), SESC-SP plans, coworking spaces, cultural event tickets, services club, and virtual sports registration.","1-4, 12",
DF,Distrito Federal,Centro-Oeste,#C45DF5,CAADF,https://caadf.org.br,@caa.df,https://instagram.com/caa.df,caixadeassistenciadf,https://web.facebook.com/caixadeassistenciadf,,,62686,NAO,"Online portal (caadf.org.br) for free psychological care, digital certification support, social aid requests (Natalidade, Família Mensal), vaccination pre-registration, health platform (Wellhub), and sports complex access (SESC/DF).","1-4, 7, 15",
GO,Goias,Centro-Oeste,#C45DF5,CASAG,https://casag.org.br,@oab_casag,https://instagram.com/oab_casag,casag.go,https://web.facebook.com/casag.go,,,61767,SIM,"Sectional app (OAB Goiás) with ""Casag Vira Mais"" rewards program and convention tab, ticket sales for events (Arraiá, Baile do Rubi), beauty services, fuel discounts, digital certification, health services (CASAG Health/Unimed), and shared offices.","1-4, 11",
MT,Mato Grosso,Centro-Oeste,#C45DF5,CAAMT,https://caamt.com.br,@caamt1,https://instagram.com/caamt1,caaoabmt,https://web.facebook.com/caaoabmt,,,29377,NAO,"Communication via ""CaixaZap"" (WhatsApp) for booking ""Meu Escritório"" coworking spaces, telemedicine, health center services, digital certification, maternity/funeral aid, and professional photography.","1-4, 16",
